Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Kuna Senior Center,Kuna,ID,00454,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Teton County,Driggs,ID,00456,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Elderly Opportunity Agency (EOA),Emmett,ID,00457,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Meridian Senior Center,Meridian,ID,00458,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Wheeler County,Fossil,OR,00408,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Sherman County,Moro,OR,00410,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lake County,Lakeview,OR,00411,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Klamath Basin Senior Citizens Center, Inc.",Klamath Falls,OR,00412,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gilliam County,Condon,OR,00413,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Burns Paiute,Burns,OR,00421,Tribe,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Ability Beyond Disability, Inc.",Bethel,CT,11176,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Ashford,Ashford,CT,11177,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Woodbridge,Woodbridge,CT,11178,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Wolcott,Wolcott,CT,11179,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Windsor Locks,Windsor Locks,CT,11180,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Windsor,Windsor,CT,11181,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Watertown,Watertown,CT,11182,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Waterford,Waterford,CT,11183,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Trumbull,Trumbull,CT,11184,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Suffield,Suffield,CT,11185,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Stratford Senior Services,Stratford,CT,11186,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Stafford,Stafford,CT,11187,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Southbury,Southbury,CT,11189,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of South Windsor,South Windsor,CT,11190,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Somers,Somers,CT,11191,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Simsbury,Simsbury,CT,11192,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Sherman,Sherman,CT,11193,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Rocky Hill,Rocky Hill,CT,11195,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Prospect,Prospect,CT,11196,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Plainville,Plainville,CT,11197,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Orange,Orange,CT,11198,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of New Milford,New Milford,CT,11199,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Middlebury,Middlebury,CT,11201,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Marlborough,Marlborough,CT,11202,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Manchester,Manchester,CT,11204,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Ledyard,Ledyard,CT,11206,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Hebron,Hebron,CT,11207,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Groton,Groton,CT,11208,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Griswold,Griswold,CT,11209,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Goshen (CT),Goshen,CT,11210,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Glastonbury,Glastonbury,CT,11211,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Farmington,Farmington,CT,11212,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Enfield,Enfield,CT,11213,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of East Windsor,East Windsor,CT,11214,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Cromwell,Cromwell,CT,11215,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Colchester,Colchester,CT,11216,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Cheshire,Cheshire,CT,11217,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Torrington - Sullivan Senior Center,Torrington,CT,11221,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Transportation Assoc. of Greenwich,Riverside,CT,11223,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
The Wheels Program of New Milford,New Milford,CT,11224,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"The Arc of Litchfield County, Inc",Torrington,CT,11225,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Norwalk Senior Center,Norwalk,CT,11227,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Hockanum Valley Community Council,Vernon,CT,11228,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Geer Nursing & Rehabilitation Center,Canaan,CT,11229,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Community Action Program of Strafford County,Dover,NH,11162,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Behavioral Health & Developmental Services , dba: Community Partners",Dover,NH,11163,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Easter Seals Special Transit Service,Manchester,NH,11164,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Genesis Behavioral Health , dba: Lakes Region Mental Health Center",Laconia,NH,11165,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Grafton County Senior Citizens Council, Inc.",Lebanon,NH,11166,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Granite State Independent Living,Concord,NH,11168,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Monadnock Adult Care Center,Keene,NH,11173,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Southern NH Services,Manchester,NH,11175,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
NHDOT Assets,Concord,NH,11236,State Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,8
Rockingham Nutrition Meals on Wheels,Brentwood,NH,11243,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
East Windsor Township,East Windsor,NJ,20194,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Middlesex County,New Brunswick,NJ,20196,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Meadowlands Transportation Brokerage Corporation, dba: EZ Ride",Wood Ridge,NJ,20197,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Essex County,Newark,NJ,20202,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Bayonne Economic Opportunity Foundation,Bayonne,NJ,22931,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Borough of Carteret,Carteret,NJ,22932,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Borough of Cliffside Park Housing Authority,Cliffside Park,NJ,22933,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Borough of Roselle Park,Roselle Park,NJ,22934,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Margate (NJ),Margate,NJ,22936,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Passaic,Passaic,NJ,22937,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Passaic,Wayne,NJ,22938,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Plainfield,Plainfield,NJ,22939,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Pleasantville,Pleasantville,NJ,22940,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Ocean,Toms River,NJ,22941,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Union,Elizabeth,NJ,22942,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Long Beach Island Community Center Inc.,Brant Beach,NJ,22943,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"The Greater Mercer Transportation Management Association, Inc.",Princeton,NJ,22944,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Kearny,Kearny,NJ,22945,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Cranford,Cranford,NJ,22946,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Nutley,Nutley,NJ,22948,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of South Brunswick,Monmouth Junction,NJ,22949,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Union,Union,NJ,22951,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Secaucus,Secaucus,NJ,22952,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Bloomfield,Bloomfield,NJ,22953,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Cherry Hill,Cherry Hill,NJ,22954,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Edison,Edison,NJ,22955,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Ewing,Ewing,NJ,22956,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Jefferson,Lake Hopatcong,NJ,22957,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Township of Mahwah, Inc.",Mahwah,NJ,22958,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Monroe,Monroe Township,NJ,22959,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of North Bergen Inc.,North Bergen,NJ,22960,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Pemberton,Pemberton,NJ,22961,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Pequannock,Pompton Plains,NJ,22962,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Teaneck,Teaneck,NJ,22963,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Washington,Turnersville,NJ,22964,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Borough of Fort Lee,Fort Lee,NJ,22966,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Borough of Sayreville, Inc.",Sayreville,NJ,22967,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Paterson,Paterson,NJ,22968,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Hudson,Jersey City,NJ,22969,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mid-Atlantic States Career and Education Center Inc.,Pennsville,NJ,22971,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Brick,Brick,NJ,22974,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Township of Livingston,Livingston,NJ,22975,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
The Voorhees Township,Voorhees,NJ,22977,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
The Township of East Brunswick,East Brunswick,NJ,22978,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
The City of Perth Amboy Department of Human Services,Perth Amboy,NJ,22979,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
The Borough of Keyport,Keyport,NJ,22980,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Bucks County Transport, Inc.",Holicong,PA,31030,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Rover Community Transportation,Downingtown,PA,31043,Private-For-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Wood County Senior Citizens Association,Parkersburg,WV,30991,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Wirt County Committee on Aging & Family Services,,WV,30993,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Webster County Senior Citizens,Webster Springs,WV,30994,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Summers County Council on Aging,Hinton,WV,30996,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Senior Life Services of Morgan County,Berkeley Springs,WV,30997,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Ritchie County Integrated Family Services,Harrisville,WV,30998,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Raleigh County Community Action Association,Beckley,WV,30999,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Putnam County Aging Program,Saint Albans,WV,31000,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Pocahontas County Senior Citizens,Marlinton,WV,31001,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Neighbor Network/Pleasants County Senior Services,Saint Marys,WV,31002,Area Agency on Aging,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Pendleton Senior & Family Services,Franklin,WV,31003,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"McDowell County Commission on Aging, Inc.",Welch,WV,31005,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Marion County Senior Citizens,Fairmont,WV,31006,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Logan-Mingo Area Mental Health, Inc.",Logan,WV,31007,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Lewis County Senior Citizens Center,Weston,WV,31008,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Kanawha Valley Senior Services,Charleston,WV,31009,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Jefferson County Council on Aging,Ranson,WV,31010,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Harrison County Senior Citizens Center,Clarksburg,WV,31011,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Hancock County Senior Services,New Cumberland,WV,31012,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Friends of Hansford Center,Saint Albans,WV,31014,Area Agency on Aging,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Family Service Upper Ohio Valley,Wheeling,WV,31015,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Council on Aging (Wyoming County),Mullens,WV,31016,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Council of Senior Citizens of Gilmer County,Glenville,WV,31017,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
