Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",126,2360991,153594.0,65.0,81.74,0.0,93606.0,0.0,226662.0,218860.0,0.0,0.0,0.0,539128.0,0.0,50059.0,Springfield,IL,"Springfield, IL",,169.01
Squaxin Island Tribe,4,0,,,0.0,,,,,,,,,,,,,,,,
"St Johns County, Florida, dba: Sunshine Bus Co.",58,0,273425.0,600.0,57.78,,,,,,,,,,,,,,,,
St Lawrence County,24,0,,,,,,,,,,,,,,,,,,,
St Martin Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
St Mary Community Action Committee Assoc,7,0,,,,,,,,,,,,,,,,,,,
"St. Bernard Parish, dba: St. Bernard Transit",2,0,43764.0,24.0,270.27,,,,,,,,,,,,,,,,
St. Clair County Commission,10,0,,,,,,,,,,,,,,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",138,1727352,110606.0,29.0,53.97,32655.0,0.0,0.0,354357.0,0.0,0.0,0.0,0.0,387012.0,0.0,50028.0,Saint Cloud,MN,"St. Cloud, MN",,135.53
St. Helena Council on Aging,8,0,,,,,,,,,,,,,,,,,,,
St. James Dept of Human Resource,14,0,,,,,,,,,,,,,,,,,,,
St. Joseph County Transportation Authority,48,0,,,,,,,,,,,,,,,,,,,
St. Landry Parish Community Action Agency,5,0,,,,,,,,,,,,,,,,,,,
"St. Martin, Iberia, Lafayette Community Action Agency, dba: SMILE Community Action Agency",6,0,72176.0,148.0,161.2,,,,,,,,,,,,,,,,
"St. Mary's County Government , dba: St. Mary's Transit System",42,0,48284.0,41.0,46.65,,,,,,,,,,,,,,,,
"St. Tammany Parish Government, dba: STAR Transit",26,0,264570.0,127.0,52.53,,,,,,,,,,,,,,,,
Standing Rock Public Transportation,14,0,8645.0,3563.0,0.0,,,,,,,,,,,,,,,,
Stanislaus Regional Transit Authority,300,4312881,550660.0,1515.0,70.38,531063.0,53712.0,0.0,179550.0,0.0,0.0,0.0,142560.0,764325.0,142560.0,,,,,,
Stanly County,10,0,,,,,,,,,,,,,,,,,,,
Stark Area Regional Transit Authority,132,3732757,375586.0,581.0,180.19,191100.0,0.0,0.0,381985.0,0.0,0.0,0.0,0.0,573085.0,0.0,50011.0,Canton,OH,"Canton, OH",,229.0
Stark County Council on Aging / Elder Care,13,0,,,,,,,,,,,,,,,,,,,
"Staten Island Rapid Transit Operating Authority, dba:  MTA Staten Island Railway",44,2663396,495747.0,59.0,3248.12,0.0,0.0,0.0,0.0,0.0,0.0,24803444.0,0.0,0.0,24803444.0,20099.0,Staten Island,NY,"New York--Jersey City--Newark, NY--NJ",,349.0
"Steamboat Springs, City of , dba: Steamboat Springs Transit",88,0,,,,,,,,,,,,,,,,,,,
Steel Valley Regional Transit Authority,22,0,25273.0,13.0,46.34,,,,,,,,,,,,,,,,
"Steuben County Council on Aging, dba: Steuben County Public Transit",4,0,,,,,,,,,,,,,,,,,,,
Stillaguamish Tribe of Indians,5,0,,,0.0,,,,,,,,,,,,,,,,
Straits Regional Ride,12,0,,,,,,,,,,,,,,,,,,,
"Stratton Industrial Commission, dba: Hitch & Hay Public Transit",5,0,,,,,,,,,,,,,,,,,,,
"Su Tran LLC , dba: Sioux Area Metro",62,851462,141400.0,51.0,67.9,135498.0,19332.0,0.0,0.0,0.0,0.0,0.0,0.0,154830.0,0.0,80002.0,Sioux Falls,SD,"Sioux Falls, SD",,88.0
Suburban Mobility Authority for Regional Transportation,1076,14592978,3424477.0,1074.0,1284.83,1817594.0,687.0,629092.0,0.0,0.0,0.0,0.0,0.0,2447373.0,0.0,50031.0,Detroit,MI,"Detroit, MI",,765.0
Suburban Transit Corporation,34,1292729,5443000.0,2898.0,3248.12,772193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772193.0,0.0,20128.0,New Brunswick,NJ,"New York--Jersey City--Newark, NY--NJ",,124.0
"Suffolk County , dba: Dept of Public Works - Transportation Division",510,17000451,1525920.0,912.0,3248.12,1084223.0,1378656.0,0.0,0.0,0.0,0.0,0.0,0.0,2462879.0,0.0,,,,,,
Sullivan County Transportation,30,0,,,,,,,,,,,,,,,,,,,
"Summit County, dba: Summit Stage",93,0,,,,,,,,,,,,,,,,,,,
Sumter County Board of County Commissioners,36,0,,,98.52,,,,,,,,,,,,,,,,
SunLine Transit Agency,285,4714076,472830.0,1120.0,151.82,,,,,,,,,,,90079.0,Thousand Palms,CA,"Indio--Palm Desert--Palm Springs, CA",,330.0
Sunflower Diversified Services,8,0,,,,,,,,,,,,,,,,,,,
"Sunflower-Humphreys Counties Progress, Inc.",11,0,,,,,,,,,,,,,,,,,,,
Sunset Empire Transportation District,24,0,,,,,,,,,,,,,,,,,,,
Sunshine Transit,28,0,,,,,,,,,,,,,,,,,,,
Susquehanna County Commissioners,22,0,,,,,,,,,,,,,,,,,,,
Sussex County Transit,48,0,96304.0,251.0,,,,,,,,,,,,,,,,,
"Suwannee River Economic Council, Inc.",26,0,,,,,,,,,,,,,,,,,,,
Suwannee Valley Transit Authority,48,0,143696.0,216.0,,,,,,,,,,,,,,,,,
Swain County  Focal Point on Aging Inc,5,0,,,,,,,,,,,,,,,,,,,
Sweetwater Transit Authority Resources,12,0,,,,,,,,,,,,,,,,,,,
Tahoe Transportation District,39,465640,150242.0,73.0,37.0,63495.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,64774.0,0.0,91092.0,Stateline,NV,"Lake Tahoe, CA-NV",,56.97
Talbot County Transit,5,0,,,,,,,,,,,,,,,,,,,
Taliaferro County Board of Commissioners,2,0,,,,,,,,,,,,,,,,,,,
Tampa Bay Area Regional Transit Authority,189,2908813,3257481.0,2778.0,968.94,0.0,126175.0,0.0,0.0,0.0,0.0,0.0,0.0,126175.0,0.0,,,,,,
Tangipahoa Voluntary Council on Aging,28,0,135217.0,791.0,76.42,,,,,,,,,,,,,,,,
Taylor County Transit,3,0,,,,,,,,,,,,,,,,,,,
Tazewell County,17,0,,,,,,,,,,,,,,,,,,,
Tehama County,28,0,,,,,,,,,,,,,,,,,,,
Telfair County Transit,2,0,,,,,,,,,,,,,,,,,,,
Teller Senior Coalition,18,0,,,,,,,,,,,,,,,,,,,
Terrebonne Council on Aging,19,0,,,,,,,,,,,,,,,,,,,
"Terrebonne Parish Consolidated Government, dba: Good Earth Transit",20,0,82803.0,57.0,94.89,,,,,,,,,,,,,,,,
Texarkana Urban Transit District,20,0,60748.0,73.0,66.64,,,,,,,,,,,,,,,,
Texas State University,38,797908,42847.0,23.0,24.44,202635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202635.0,0.0,,,,,,
"Texoma Area Paratransit System, Inc",14,469950,285394.0,5754.0,38.49,0.0,57973.0,0.0,0.0,0.0,0.0,0.0,0.0,57973.0,0.0,,,,,,
"The Canon City Golden Age Council, Inc",9,0,,,,,,,,,,,,,,,,,,,
"The City of Cheyenne, dba: Cheyenne Transit Program",14,0,59466.0,18.0,33.87,,,,,,,,,,,,,,,,
"The Community Pantry, dba: Gallup Express",6,0,,,,,,,,,,,,,,,,,,,
"The County Commissioners of Caroline County, Maryland",38,0,,,,,,,,,,,,,,,,,,,
"The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System",54,0,172891.0,452.0,80.29,,,,,,,,,,,,,,,,
"The County of Iredell, dba: Iredell County Area Transportation Services",50,0,161202.0,576.0,657.61,,,,,,,,,,,,,,,,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",273,2822495,334500.0,225.0,73.35,508042.0,114982.0,0.0,0.0,0.0,0.0,0.0,91839.0,623024.0,91839.0,,,,,,
The Greater Cleveland Regional Transit Authority,2250,22084698,1412140.0,458.0,713.81,972736.0,535906.0,76446.0,2516791.0,0.0,0.0,28613425.0,0.0,4101879.0,28613425.0,50015.0,Cleveland,OH,"Cleveland, OH",,
The Mashpee Wampanoag Tribe,4,0,445980.0,98.0,341.28,,,,,,,,,,,,,,,,
"The Transit System, Inc.",30,0,,,,,,,,,,,,,,,,,,,
The Transportation Management Association Group,76,623156,1978890.0,7505.0,584.95,,,,,,,,,,,40178.0,Franklin,TN,"Nashville-Davidson, TN",423.0,0.21
The Tri-County Council for the Lower Eastern Shore of Maryland,64,1800333,181696.0,1031.0,48.39,,,,,,,,,,,30096.0,Salisbury,MD,"Salisbury, MD--DE",,101.0
The Tri-State Transit Authority,66,1281192,144339.0,92.0,128.87,174923.0,46828.0,0.0,0.0,0.0,0.0,0.0,0.0,221751.0,0.0,30002.0,Hunnington,WV,"Huntington, WV--KY--OH",,74.0
The Tulalip Tribes of Washington,1,0,5303.0,19.0,0.0,,,,,,,,,,,,,,,,
The Woodlands Township,58,1169420,604068.0,454.0,219.14,185692.0,0.0,34620.0,0.0,0.0,0.0,0.0,0.0,220312.0,0.0,60134.0,Spring,TX,"The Woodlands--Conroe, TX",,16.9
Thomas County,2,0,,,,,,,,,,,,,,,,,,,
Thomas County Transit,15,0,,,,,,,,,,,,,,,,,,,
"Three Rivers Community Action, Inc.",42,0,,,,,,,,,,,,,,,,,,,
Three Rivers Regional Commission,24,0,299907.0,2104.0,0.0,,,,,,,,,,,,,,,,
Thunderbay Transportation Authority,23,0,,,,,,,,,,,,,,,,,,,
Thurston Regional Planning Council,6,0,,,,,,,,,,,,,,,,,,,
Tillamook County Transportation District,57,0,,,,,,,,,,,,,,,,,,,
Toledo Area Regional Transit Authority,378,3364518,374213.0,142.0,240.71,609283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609283.0,0.0,50022.0,Toledo,OH,"Toledo, OH--MI",,292.0
Tompkins Consolidated Area Transit,96,1832552,104777.0,476.0,24.56,310801.0,54399.0,0.0,0.0,0.0,0.0,0.0,186344.0,365200.0,186344.0,20145.0,Ithaca,NY,"Ithaca, NY",,114.0
"Toole County, dba: Northern Transit Interlocal",7,0,,,,,,,,,,,,,,,,,,,
Topeka Metropolitan Transit Authority,136,930914,127473.0,58.0,84.24,,,,,,,,,,,70014.0,Topeka,KS,"Topeka, KS",,84.4
Town of Altavista,2,0,,,,,,,,,,,,,,,,,,,
"Town of Avon, dba: Avon Transit",7,0,,,,,,,,,,,,,,,,,,,
Town of Beaver,2,0,,,,,,,,,,,,,,,,,,,
Town of Bedford,1,0,14329.0,14.0,1655.89,,,,,,,,,,,,,,,,
"Town of Blacksburg, dba: Blacksburg Transit",82,1149382,73554.0,34.0,33.98,243455.0,20281.0,0.0,0.0,0.0,0.0,0.0,119732.0,263736.0,119732.0,30091.0,Blacksburg,VA,"Blacksburg--Christiansburg, VA",,239.75
Town of Bluefield/Graham Transit,3,0,,,,,,,,,,,,,,,,,,,
"Town of Breckenridge, dba: Free Ride Transit System",10,0,,,,,,,,,,,,,,,,,,,
"Town of Cary, dba: GoCary",48,0,174721.0,59.0,554.82,,,,,,,,,,,,,,,,
"Town of Chapel Hill, dba: Chapel Hill Transit",264,2115186,80218.0,62.0,183.36,411089.0,61300.0,0.0,0.0,0.0,0.0,0.0,19057.0,472389.0,19057.0,40051.0,Chapel Hill,NC,"Durham, NC",,207.94
Town of Chincoteague,3,0,,,,,,,,,,,,,,,,,,,
"Town of Clarkstown , dba: Mini Trans",7,0,300173.0,179.0,3248.12,,,,,,,,,,,,,,,,
Town of Cranberry Isles,3,0,,,,,,,,,,,,,,,,,,,
Town of Davie,6,0,100882.0,36.0,1244.18,,,,,,,,,,,,,,,,
"Town of Estes Park, dba: Estes Transit",6,0,,,,,,,,,,,,,,,,,,,
Town of Goshen,2,0,,,,,,,,,,,,,,,,,,,
Town of Highlands,1,0,12492.0,52.0,0.0,,,,,,,,,,,,,,,,
Town of Hillsboro Beach,1,0,2004.0,2.0,1244.18,,,,,,,,,,,,,,,,
"Town of Huntington, dba: Huntington Area Rapid Transit",36,650628,204127.0,93.0,3248.12,21033.0,60911.0,0.0,0.0,0.0,0.0,0.0,0.0,81944.0,0.0,20071.0,Huntington,NY,"New York--Jersey City--Newark, NY--NJ",,50.55
Town of Lauderdale-By-The-Sea,1,0,6460.0,2.0,1244.18,,,,,,,,,,,,,,,,
Town of Lexington,3,0,51875.0,25.0,1655.89,,,,,,,,,,,,,,,,
Town of Limon,1,0,,,,,,,,,,,,,,,,,,,
"Town of Miami , dba: Cobre Valley Community Transit",10,0,,,,,,,,,,,,,,,,,,,
"Town of Monroe , dba: Monroe Dial A Bus",5,0,30486.0,62.0,28.75,,,,,,,,,,,,,,,,
Town of Montgomery,3,0,641357.0,510.0,,,,,,,,,,,,,,,,,
Town of Morrisville,2,0,32000.0,8.0,554.82,,,,,,,,,,,,,,,,
Town of Mountain Village,150,0,,,,,,,,,,,,,,,,,,,
Town of Newburgh,3,0,31985.0,47.0,209.92,,,,,,,,,,,,,,,,
"Town of Oro Valley , dba: Transit Service Division",28,0,48282.0,35.0,357.35,,,,,,,,,,,,,,,,
Town of Quartzsite,3,0,,,,,,,,,,,,,,,,,,,
Town of Red River,2,0,,,,,,,,,,,,,,,,,,,
"Town of Snowmass Village, dba: Village Shuttle",24,0,,,,,,,,,,,,,,,,,,,
"Town of Telluride, dba: Galloping Goose",4,0,,,,,,,,,,,,,,,,,,,
Town of Truckee,12,0,,,,,,,,,,,,,,,,,,,
Town of Wallkill,5,0,30743.0,62.0,25.96,,,,,,,,,,,,,,,,
"Town of Warwick , dba: Warwick Dial A Bus",10,0,32027.0,101.0,0.0,,,,,,,,,,,,,,,,
Towns County,2,0,,,,,,,,,,,,,,,,,,,
Trailblazer Joint Powers Board,32,0,,,,,,,,,,,,,,,,,,,
"Trans-Bridge Lines, Inc.",16,1269212,194009.0,353.0,3248.12,0.0,0.0,0.0,0.0,241888.0,0.0,0.0,0.0,241888.0,0.0,20169.0,Bethlehem,PA,"New York--Jersey City--Newark, NY--NJ",,115.0
TransIV Buses - College of Southern Idaho,9,0,,,22.07,,,,,,,,,,,,,,,,
"Transit Authority of Central Kentucky, dba: TACK Transit",68,1446401,140786.0,929.0,55.83,,,,,,,,,,,40191.0,Elizabethtown,KY,"Elizabethtown--Radcliff, KY",,81.33
Transit Authority of Northern Kentucky,242,4359435,278653.0,267.0,752.28,662452.0,106581.0,0.0,0.0,0.0,0.0,0.0,0.0,769033.0,0.0,40019.0,Covington,KY,"Cincinnati, OH--KY",,269.0
Transit Authority of Omaha,200,4178048,656462.0,237.0,270.81,260563.0,73047.0,0.0,473440.0,146746.0,0.0,0.0,110120.0,953796.0,110120.0,70002.0,Omaha,NE,"Omaha, NE--IA",,279.0
Transit Authority of River City,1200,8941324,736150.0,288.0,400.86,1409286.0,151267.0,0.0,0.0,0.0,0.0,0.0,141567.0,1560553.0,141567.0,40018.0,Louisville,KY,"Louisville/Jefferson County, KY--IN",,570.0
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",100,2218525,136957.0,310.0,43.08,230496.0,153212.0,0.0,0.0,0.0,0.0,0.0,0.0,383708.0,0.0,,,,,,
"Transit Management of Central Maryland, Inc.",150,2320000,321113.0,251.0,654.93,240500.0,201502.0,0.0,0.0,0.0,0.0,0.0,77567.0,442002.0,77567.0,,,,,,
Transp. Administration of Cleveland County. Inc,36,0,,,,,,,,,,,,,,,,,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",2436,13253542,1150833.0,438.0,481.67,2028909.0,442843.0,0.0,0.0,0.0,0.0,3291138.0,1576400.0,2471752.0,4867538.0,30083.0,Hampton,VA,"Virginia Beach--Norfolk, VA",,
Transportation Resources For Independent People of Sandusky (TRIPS),28,0,,,,,,,,,,,,,,,,,,,
Transportation for Logan County,24,0,,,,,,,,,,,,,,,,,,,
Transylvania County,24,0,,,,,,,,,,,,,,,,,,,
Treasure Valley Transit,52,0,148011.0,210.0,65.86,,,,,,,,,,,,,,,,
Tri River Transit,58,0,,,,,,,,,,,,,,,,,,,
"Tri-County Action Program, Inc.",44,0,,,,,,,,,,,,,,,,,,,
"Tri-County CAP, Inc./Carroll County Transit",3,0,,,0.0,,,,,,,,,,,,,,,,
"Tri-County CAP, Inc./North Country Transit",14,0,,,0.0,,,,,,,,,,,,,,,,
"Tri-County Community Council, Inc",24,0,,,,,,,,,,,,,,,,,,,
Tri-County Metropolitan Transportation District of Oregon,4518,36072191,1558315.0,383.0,519.3,,,,,,,,,,,8.0,Portland,OR,"Portland, OR--WA",,
Tri-Valley Developmental Services,3,0,,,,,,,,,,,,,,,,,,,
"Tri-Valley Opportunity Council, Inc.",36,0,,,,,,,,,,,,,,,,,,,
Tri-Valley Transit Inc,243,0,,,,,,,,,,,,,,,,,,,
Trinity County,4,0,,,,,,,,,,,,,,,,,,,
Troup County Transit,8,0,,,,,,,,,,,,,,,,,,,
Tulare County Area Transit,48,0,,,,,,,,,,,,,,,,,,,
Tulare County Regional Transit Agency,34,763434,473117.0,4839.0,17.71,0.0,12280.0,0.0,90243.0,0.0,0.0,0.0,0.0,102523.0,0.0,,,,,,
Tuolumne County Transit,24,0,,,,,,,,,,,,,,,,,,,
Turtle Mountain Band of Chippewa Indian,4,0,,,0.0,,,,,,,,,,,,,,,,
Tuscaloosa County Parking and Transit Authority,24,0,136487.0,171.0,88.16,,,,,,,,,,,,,,,,
Twiggs County Transit,2,0,,,,,,,,,,,,,,,,,,,
Twin Cities Area Transportation Authority,48,0,27000.0,14.0,52.53,,,,,,,,,,,,,,,,
"Twin Rivers Developmental Supports, Inc.",7,0,,,,,,,,,,,,,,,,,,,
Twin Transit,52,0,,,,,,,,,,,,,,,,,,,
Ulster County,60,1072162,175883.0,350.0,209.92,62400.0,54300.0,0.0,0.0,0.0,0.0,0.0,63461.0,116700.0,63461.0,20178.0,Kingston,NY,"Poughkeepsie--Newburgh, NY",,76.0
Umpqua Public Transportation District,54,0,,,,,,,,,,,,,,,,,,,
"Unified Government of Wyandotte County and Kansas City, KS, dba: Ride KC Bus",48,0,167046.0,156.0,714.1,,,,,,,,,,,,,,,,
"Unified Human Services Transportation Systems, Inc",25,0,,,,,,,,,,,,,,,,,,,
"Union County Council on Aging , dba: Union County Transit",6,0,,,,,,,,,,,,,,,,,,,
Union County Transit,2,0,,,,,,,,,,,,,,,,,,,
"Union County, dba: Union County Transportation",50,0,222742.0,640.0,657.61,,,,,,,,,,,,,,,,
"United Community Action Partnership, Inc.",76,0,,,,,,,,,,,,,,,,,,,
"United Community Action Program, Inc.",60,0,,,,,,,,,,,,,,,,,,,
United Keetoowah Band of Cherokee Indians in Oklahoma,4,0,,,0.0,,,,,,,,,,,,,,,,
"University Of New Hampshire, dba: University Transportation Services",14,0,79000.0,51.0,52.31,,,,,,,,,,,,,,,,
"University of Arkansas, Fayetteville",46,0,93949.0,18.0,198.27,,,,,,,,,,,,,,,,
"University of California, Davis, dba: ASUCD-Unitrans",25,636992,70827.0,13.0,12.16,,,,,,,,,,,90142.0,Davis,CA,"Davis, CA",,278.0
"University of Georgia, dba: University of Georgia Transit System",132,602408,119648.0,14.0,91.85,,,,,,,,,,,40180.0,Athens,GA,"Athens-Clarke County, GA",,192.0
University of Iowa,56,684481,78440.0,30.0,50.83,166023.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,168291.0,0.0,70019.0,Iowa City,IA,"Iowa City, IA",,153.35
"University of Kansas, dba: KU Transportation Services",18,307476,94934.0,15.0,29.92,46497.0,0.0,0.0,0.0,79750.0,0.0,0.0,0.0,126247.0,0.0,,,,,,
University of Michigan Parking and Transportation Services,46,1409042,66641.0,12.0,143.45,305323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305323.0,0.0,50158.0,Ann Arbor,MI,"Ann Arbor, MI",,138.6
University of Minnesota Transit,44,579864,65425.0,5.0,1014.79,112491.0,19758.0,0.0,0.0,0.0,0.0,0.0,0.0,132249.0,0.0,50515.0,Minneapolis,MN,"Minneapolis--St. Paul, MN",,8.0
"University of Montana, dba: UDASH",3,63342,40948.0,10.0,44.29,,,,,,,,,,,80107.0,Missoula,MT,"Missoula, MT",,33.02
University of Texas Rio Grande Valley,57,0,870781.0,521.0,326.22,,,,,,,,,,,,,,,,
University of Wyoming,30,0,,,,,,,,,,,,,,,,,,,
Upper-Cumberland Human Resource Agency,196,0,,,,,,,,,,,,,,,,,,,
Urban Transportation District of Dawson County,6,0,,,,,,,,,,,,,,,,,,,
Utah Transit Authority,8504,40768367,2218482.0,607.0,300.42,5643137.0,974542.0,0.0,353485.0,0.0,0.0,43863100.0,185435.0,6971164.0,44048535.0,80001.0,Salt Lake City,UT,"Salt Lake City, UT",,
Ute Tribe,8,0,,,0.0,,,,,,,,,,,,,,,,
VIA Metropolitan Transit,5238,34256660,1917581.0,1210.0,613.44,379353.0,853253.0,783212.0,5288837.0,0.0,0.0,0.0,0.0,7304655.0,0.0,60011.0,San Antonio,TX,"San Antonio, TX",,
"VNA Home Healthcare, Hospice & Community Service",10,0,,,0.0,,,,,,,,,,,,,,,,
"Vail, Town of",54,0,,,,,,,,,,,,,,,,,,,
Valley County Hospital,2,0,,,,,,,,,,,,,,,,,,,
Valley County Transit,5,0,,,,,,,,,,,,,,,,,,,
"Valley Metro Rail, Inc.",70,2953791,500220.0,45.0,1110.48,0.0,0.0,0.0,0.0,0.0,0.0,20606809.0,0.0,0.0,20606809.0,,,,,,
Valley Regional Transit,140,2302277,763140.0,66.0,139.23,32.0,4841.0,0.0,456699.0,0.0,0.0,0.0,57915.0,461572.0,57915.0,,,,,,
Valley Transit,74,0,46914.0,25.0,57.63,,,,,,,,,,,,,,,,
Valley Transit District,12,229344,88364.0,58.0,397.29,0.0,36674.0,0.0,0.0,0.0,0.0,0.0,0.0,36674.0,0.0,10042.0,Derby,CT,"Bridgeport--Stamford, CT--NY",,26.0
Van Buren Public Transit,32,0,,,,,,,,,,,,,,,,,,,
Ventura County Transportation Commission,135,2039008,209877.0,28.0,76.61,268248.0,35911.0,0.0,0.0,91818.0,0.0,0.0,0.0,395977.0,0.0,,,,,,
Vermilion Council on Aging,8,0,,,,,,,,,,,,,,,,,,,
Vermont Agency of Transportation,7,0,645570.0,9616.0,62.01,,,,,,,,,,,,,,,,
Vermont Association for the Blind and Visually Impaired,8,0,,,62.01,,,,,,,,,,,,,,,,
Vernon Council on Aging,9,0,,,,,,,,,,,,,,,,,,,
Via Mobility Services,55,961709,2991231.0,2500.0,25.45,0.0,122968.0,0.0,3106.0,0.0,0.0,0.0,87917.0,126074.0,87917.0,80285.0,Boulder,CO,"Boulder, CO",,129.0
Victor Valley Transit Authority,1032,8696977,344288.0,327.0,131.77,0.0,271379.0,0.0,849290.0,0.0,0.0,0.0,456345.0,1120669.0,456345.0,,,,,,
Village of Kiryas Joel,26,0,45307.0,12.0,28.75,,,,,,,,,,,,,,,,
Village of Milan,3,0,929543.0,915.0,,,,,,,,,,,,,,,,,
Village of Plover,3,0,,,,,,,,,,,,,,,,,,,
Village of Prairie du Sac,3,0,,,,,,,,,,,,,,,,,,,
Virgin Islands Department of Public Works,60,0,87146.0,132.0,134.0,,,,,,,,,,,,,,,,
Virginia Railway Express,99,2333413,2415555.0,730.0,1294.51,1488786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488786.0,0.0,,,,,,
Virginia Regional Transit,44,0,153600.0,144.0,,,,,,,,,,,,,,,,,
Voluntary Action Center,21,0,65653.0,608.0,25.63,,,,,,,,,,,,,,,,
Volunteer Interfaith Network Effort,5,0,,,26.37,,,,,,,,,,,,,,,,
Wabaunsee County General Public Transportation,3,0,,,,,,,,,,,,,,,,,,,
Waccamaw Regional Transportation Authority,58,0,406336.0,1244.0,218.94,,,,,,,,,,,,,,,,
Wadena County Social Services,8,0,,,,,,,,,,,,,,,,,,,
Wahkiakum County Health & Human Services,14,0,,,,,,,,,,,,,,,,,,,
"Wake County, dba: Wake County DSS",38,1936601,1072203.0,861.0,554.82,,,,,,,,,,,,,,,,
Wakulla County Transportation,10,0,64655.0,55.0,,,,,,,,,,,,,,,,,
Waldo Community Action Partners,32,0,,,,,,,,,,,,,,,,,,,
Walker County,14,0,,,,,,,,,,,,,,,,,,,
Walker County Commission,3,0,,,,,,,,,,,,,,,,,,,
Walsh County Transportation Program,4,0,,,,,,,,,,,,,,,,,,,
Warren County,47,0,386046.0,149.0,,,,,,,,,,,,,,,,,
Warren County Commission Transit,2,0,,,,,,,,,,,,,,,,,,,
"Warren County Transit Authority, dba: Transit Authority of Warren County",24,0,,,,,,,,,,,,,,,,,,,
"Wasco, City of",3,0,,,,,,,,,,,,,,,,,,,
Washakie County Senior Citizens Center,5,0,,,,,,,,,,,,,,,,,,,
Washington County,5,0,,,,,,,,,,,,,,,,,,,
"Washington County , dba: Washington County Transit",24,0,48220.0,70.0,120.77,,,,,,,,,,,,,,,,
Washington County Commissioners,20,0,25000.0,53.0,42.38,,,,,,,,,,,,,,,,
"Washington County Transportation Authority, dba: Freedom Transit",96,1857014,209349.0,861.0,906.64,55152.0,172951.0,0.0,0.0,0.0,0.0,0.0,0.0,228103.0,0.0,,,,,,
Washington Metropolitan Area Transit Authority,11228,122883834,5089918.0,1349.0,1294.51,7351971.0,1812002.0,0.0,3965272.0,0.0,0.0,438160464.0,17194.0,13129245.0,438177658.0,30030.0,Washington,DC,"Washington--Arlington, DC--VA--MD",,
Washington Parish Council on Aging,8,0,,,,,,,,,,,,,,,,,,,
Washington State Ferries,17,737693,3919300.0,1945.0,982.52,13457375.0,0.0,0.0,0.0,1273013.0,0.0,0.0,0.0,14730388.0,0.0,35.0,Olympia,WA,"Seattle--Tacoma, WA",,
Washita Valley Community Action Council,5,0,,,,,,,,,,,,,,,,,,,
Watonwan County,3,0,,,,,,,,,,,,,,,,,,,
Wayne Area Transportation Service,34,0,,,,,,,,,,,,,,,,,,,
Wayne County Area Agency on Aging,34,0,395300.0,8426.0,,,,,,,,,,,,,,,,,
Wayne County Transit,12,0,,,,,,,,,,,,,,,,,,,
Wayne Public Transit,4,0,,,,,,,,,,,,,,,,,,,
Webb County Community Action Agency,30,0,159990.0,725.0,,,,,,,,,,,,,,,,,
Webster Parish Police Jury- OCS,6,0,,,,,,,,,,,,,,,,,,,
Weirton Transit Corporation,10,0,19685.0,19.0,46.34,,,,,,,,,,,,,,,,
"Wells County Council on Aging , dba: Wells on Wheels",8,0,,,,,,,,,,,,,,,,,,,
West Alabama Rural Public Transportation,31,0,,,,,,,,,,,,,,,,,,,
West Central Indiana Economic Development District,6,0,,,,,,,,,,,,,,,,,,,
West Central Mass Transit District,32,0,,,,,,,,,,,,,,,,,,,
West Feliciana Public Transit,2,0,,,,,,,,,,,,,,,,,,,
West Ouachita Senior Center,11,0,,,,,,,,,,,,,,,,,,,
West River Transit,20,0,,,,,,,,,,,,,,,,,,,
"West River Transit Authority, Inc., dba: Prairie Hills Transit",30,0,,,,,,,,,,,,,,,,,,,
"West Texas Opportunities, Inc.",110,0,,,,,,,,,,,,,,,,,,,
West Virginia University - Morgantown Personal Rapid Transit,48,522735,60547.0,12.0,40.7,,,,,,,,,,,30107.0,Morgantown,WV,"Morgantown, WV",,38.9
"West Yellowstone Foundation, Inc.",2,0,178000.0,452.0,,,,,,,,,,,,,,,,,
"West's Transportation, Inc.",16,0,,,,,,,,,,,,,,,,,,,
"Westchester County, dba: The Bee-Line System",1098,12691761,1004457.0,450.0,3248.12,2333427.0,288382.0,0.0,0.0,0.0,0.0,0.0,21490.0,2621809.0,21490.0,,,,,,
Western Carolina Community Action,6,0,,,264.88,,,,,,,,,,,,,,,,
